"id","name","odba.start","odba.end","time.odba","odba.mean","vedba.mean","vedba.auc","odba.auc","vo2.start","vo2.end","time.vo2","vo2.mean","type","age","facility","sex","species","id2","date","duration","swim.secs","stroke_rate","mass","types","vo2_mlkg","dmr","sdmr"
"Sly2014-11-07rest","Sly",2016-07-11 00:55:25,2016-07-11 00:58:32,186.799999952316,0.343111560078706,0.217295315592975,8.6101742037942,13.6538397602579,2016-07-12 09:55:41,2016-07-12 09:57:30,109,1.25001060185403,"rest",11,"UWW","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Sly2014-11-07swim1","Sly",2016-07-11 00:27:04,2016-07-11 00:29:07,123,0.0890832986313237,0.055398284980479,27.586170765898,43.6523186559857,2016-07-12 10:00:48,2016-07-12 10:03:26,158,3.23754924316038,"swim1",11,"UWW","Male","NZFS","Sly07-11-14_1.csv",2014-11-07,"02:03",123,25,158,"swim",20.4908179946859,1.57929231373677,9.99552097301752
"Sly2014-11-07swim2","Sly",2016-07-11 00:04:16,2016-07-11 00:06:16,119.299999952316,0.401631010998979,0.254645731343776,28.464050523824,45.2316687314946,2016-07-12 10:06:23,2016-07-12 10:08:34,131,3.45310305511675,"swim2",11,"UWW","Male","NZFS","Sly07-11-14_2.csv",2014-11-07,"01:59",119,26,158,"swim",21.8550826273212,1.74106036392441,11.0193693919267
"Sly2014-12-09rest","Sly",2016-07-11 00:36:28,2016-07-11 00:41:46,317.700000047684,0.442966606804404,0.278986235485938,21.95214540653,34.2940539985153,2016-07-12 16:40:22,2016-07-12 16:42:21,119,1.34590755594444,"rest",11,"UWW","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Sly2014-12-09swim1","Sly",2016-07-11 00:41:45,2016-07-11 00:44:29,163.799999952316,0.153260161776192,0.0986115974555547,41.4081105420806,66.1995356652228,2016-07-12 16:45:17,2016-07-12 16:47:58,161,3.7830086737282,"swim1",11,"UWW","Male","NZFS","Sly09-12-14_1.csv",2014-12-09,"02:44",164,38,152,"swim",24.8882149587382,1.3840275635591,9.10544449709933
"Sly2014-12-09swim2","Sly",2016-07-11 00:48:54,2016-07-11 00:51:01,127.5,0.364363173749712,0.228519302334995,31.8091320321051,50.4921705558689,2016-07-12 16:55:55,2016-07-12 16:58:00,125,3.24562367615613,"swim2",11,"UWW","Male","NZFS","Sly09-12-14_2.csv",2014-12-09,"02:07",127,32,152,"swim",21.3527873431324,1.53336551629423,10.0879310282515
"Sly2014-12-09swim2","Sly",2016-07-11 00:48:54,2016-07-11 00:51:01,127.5,0.364363173749712,0.228519302334995,31.8091320321051,50.4921705558689,2016-07-12 16:55:55,2016-07-12 16:58:00,125,3.24562367615613,"swim2",11,"UWW","Male","NZFS","Sly09-12-14_3.csv",2014-12-09,"01:13",73,13,152,"swim",21.3527873431324,2.66763589821051,17.5502361724376
"Sly2014-12-09swim3","Sly",2016-07-11 00:54:01,2016-07-11 00:55:14,73,0.382436725183556,0.240559314987031,17.9817902405488,28.6084945679691,NA,NA,NA,NA,"swim3",11,"UWW","Male","NZFS",NA,NA,NA,0,NA,NA,"swim",NA,NA,NA
"Sly2014-12-11rest","Sly",2016-07-11 00:50:39,2016-07-11 00:53:55,196.299999952316,0.0909504165655944,0.0583976831304188,8.19845825754211,12.9981516724075,2016-07-12 11:52:30,2016-07-12 11:54:25,115,1.32346458759189,"rest",11,"UWW","Male","NZFS",NA,NA,NA,0,NA,NA,"rest",NA,Inf,NA
"Sly2014-12-11swim1","Sly",2016-07-11 00:55:40,2016-07-11 00:57:33,113.700000047684,0.368795460175558,0.23151688533418,28.4174581430377,44.9718882042675,2016-07-12 11:58:18,2016-07-12 12:01:06,168,3.16143957709459,"swim1",11,"UWW","Male","NZFS","Sly11-12-14_1.csv",2014-12-11,"01:54",114,24,151,"swim",20.9366859410238,1.66391556689189,11.0193083900125
